Shape_Area,ADM2_ES,ADM2_PCODE,min_prec_2014_01,max_prec_2014_01,mean_prec_2014_01,std_prec_2014_01,min_prec_2014_02,max_prec_2014_02,mean_prec_2014_02,std_prec_2014_02,min_prec_2014_03,max_prec_2014_03,mean_prec_2014_03,std_prec_2014_03,min_prec_2014_04,max_prec_2014_04,mean_prec_2014_04,std_prec_2014_04,min_prec_2014_05,max_prec_2014_05,mean_prec_2014_05,std_prec_2014_05,min_prec_2014_06,max_prec_2014_06,mean_prec_2014_06,std_prec_2014_06,min_prec_2014_07,max_prec_2014_07,mean_prec_2014_07,std_prec_2014_07,min_prec_2014_08,max_prec_2014_08,mean_prec_2014_08,std_prec_2014_08,min_prec_2014_09,max_prec_2014_09,mean_prec_2014_09,std_prec_2014_09,min_prec_2014_10,max_prec_2014_10,mean_prec_2014_10,std_prec_2014_10,min_prec_2014_11,max_prec_2014_11,mean_prec_2014_11,std_prec_2014_11,min_prec_2014_12,max_prec_2014_12,mean_prec_2014_12,std_prec_2014_12,year
0.0253694762555,Abalá,MX31001,17.7,25.66,19.95,2.303,18.58,19.6,19.05,0.3809,24.69,27.39,25.61,0.8047,15.48,20.16,17.84,1.44,92.1,103.7,99.2,3.31,118.8,140.0,128.9,6.336,85.5,96.25,90.56,3.307,166.1,181.4,172.4,4.902,176.2,191.1,185.0,5.23,143.1,172.1,153.0,8.12,20.05,22.31,20.8,0.6616,21.73,27.55,24.61,1.992,2014
0.0676451084999,Abasolo,MX05001,12.59,26.56,15.27,2.912,6.316,7.61,6.957,0.3516,5.9,9.28,7.168,0.773,10.74,20.23,12.85,2.268,24.77,43.66,31.78,4.926,40.9,50.47,45.94,2.43,29.86,46.94,35.38,4.14,40.78,49.94,45.84,2.635,71.6,101.44,80.4,7.844,5.332,7.652,6.562,0.558,11.63,19.12,14.8,1.661,9.92,14.71,12.38,1.173,2014
0.0532914800764,Abasolo,MX11001,10.695,13.22,11.55,0.551,1.686,3.162,2.271,0.376,5.773,8.03,6.883,0.6743,10.86,18.16,14.44,1.865,41.1,68.56,57.47,6.754,176.8,244.2,211.1,17.97,160.5,209.0,188.5,13.445,105.3,129.5,115.2,7.324,127.75,177.6,151.1,14.18,43.44,57.88,51.38,4.125,13.67,20.16,17.4,1.8545,7.81,13.766,10.54,1.592,2014
0.00422425987935,Abasolo,MX19001,21.58,22.66,22.11,0.5415,5.816,6.1,5.957,0.1418,11.33,13.52,12.43,1.096,32.1,34.62,33.34,1.273,37.72,39.66,38.7,0.9673,53.97,56.8,55.4,1.429,49.66,51.28,50.47,0.824,81.8,89.0,85.44,3.613,191.5,196.2,193.9,2.414,24.19,24.3,24.23,0.0576,28.88,29.72,29.3,0.4224,7.54,9.54,8.54,1.001,2014
0.165111640936,Abasolo,MX28001,15.3,21.9,18.48,1.501,4.484,10.07,7.49,1.203,5.344,19.48,13.63,3.7,39.8,65.25,54.78,5.984,57.25,105.3,83.0,11.75,55.03,79.9,67.1,6.36,25.27,38.62,31.61,2.996,38.25,97.7,61.34,9.93,173.2,324.5,221.1,41.4,69.06,102.1,85.0,7.695,14.086,30.98,21.73,4.145,9.58,21.5,14.375,3.045,2014
0.0107503090585,Abejones,MX20001,8.89,21.44,15.586,4.445,6.527,14.445,10.7,3.092,9.43,12.375,10.84,1.102,31.62,48.5,41.6,5.65,170.9,225.0,199.6,17.33,262.5,345.0,313.2,30.8,111.44,191.4,162.4,30.48,135.4,210.4,178.2,27.27,161.9,324.5,251.1,61.25,186.6,218.5,201.9,11.06,27.52,88.5,66.4,22.42,21.97,41.12,32.53,6.82,2014
0.0208830723262,Acacoyagua,MX07001,3.686,16.6,10.98,4.89,1.475,4.55,3.195,1.292,21.95,41.62,33.97,6.402,28.89,42.12,35.03,4.52,334.0,457.2,400.8,36.6,421.0,445.5,429.0,7.47,344.8,450.2,398.8,32.0,362.0,438.5,407.2,23.14,578.0,702.0,637.0,38.8,644.0,774.5,717.0,36.34,24.23,49.78,33.2,8.83,2.973,10.64,7.285,2.383,2014
0.0151855909666,Acajete,MX21001,8.125,16.3,13.28,2.766,2.533,10.67,7.543,2.559,6.812,16.16,11.26,2.84,33.66,50.4,39.25,6.277,122.8,167.0,144.8,13.25,180.2,337.2,223.1,52.47,79.8,103.1,89.25,7.664,90.56,117.7,101.94,8.27,203.9,356.5,251.5,49.66,78.6,86.94,83.06,2.672,21.22,34.16,27.6,5.125,16.55,26.42,21.02,2.938,2014
0.00839329681875,Acajete,MX30001,29.14,44.22,35.72,6.664,14.98,19.86,17.58,1.765,15.62,23.45,18.81,3.002,42.5,49.47,46.44,2.836,143.0,163.5,153.1,7.598,177.1,236.1,211.8,21.47,135.0,165.4,150.9,10.77,125.9,160.1,143.9,13.05,372.0,417.2,392.5,18.28,121.06,132.4,128.0,4.2,104.0,119.7,112.5,6.38,70.5,75.44,73.4,1.945,2014
0.0407310631609,Acala,MX07002,5.9,10.66,8.164,1.104,3.266,10.92,7.89,2.34,9.53,21.66,12.03,2.979,21.38,28.73,25.48,2.201,157.4,208.1,178.4,13.375,258.2,318.5,281.2,16.22,158.5,266.2,194.0,26.75,90.0,166.4,116.8,18.23,291.0,355.2,312.5,17.72,99.44,165.6,115.0,16.31,10.35,17.73,12.91,1.946,3.74,18.47,11.734,5.465,2014
0.07579203327,Acámbaro,MX11002,7.16,11.64,9.61,0.996,1.274,12.445,2.4,2.098,2.584,11.82,3.863,1.554,11.805,25.72,15.56,2.521,41.88,80.06,57.8,9.42,130.5,174.9,152.8,9.83,155.1,199.1,175.0,11.766,93.5,140.2,117.56,10.945,99.9,153.4,127.3,13.68,47.72,73.2,58.9,5.59,5.645,24.73,11.36,5.188,6.004,21.6,10.24,3.082,2014
0.041043697854,Acambay,MX15001,7.465,10.266,8.61,0.801,1.818,3.455,2.828,0.3716,5.855,8.99,7.29,0.7544,21.52,35.72,26.48,3.605,78.56,114.6,93.4,10.2,170.0,232.9,191.0,19.2,141.1,203.6,169.4,20.12,104.7,127.25,117.44,6.63,132.1,203.0,166.2,24.1,76.94,99.7,88.25,6.66,11.26,28.19,16.12,3.783,10.18,16.19,11.61,1.506,2014
0.0119095943652,Acanceh,MX31002,23.28,32.06,27.19,2.682,17.9,19.61,18.61,0.548,30.19,33.3,31.42,1.182,12.73,13.625,13.06,0.3118,92.0,102.7,97.5,3.021,116.6,146.9,132.6,11.62,93.0,110.44,98.44,5.46,150.4,164.4,158.9,5.22,188.1,203.1,195.1,5.023,148.2,178.5,165.9,11.7,20.34,21.95,21.17,0.568,25.17,27.86,26.86,0.775,2014
0.0454402990774,Acapetahua,MX07003,0.0475,3.523,1.115,0.9814,0.981,4.57,2.002,1.128,6.586,30.53,18.52,7.637,14.26,35.75,20.69,5.926,256.0,394.5,325.2,38.6,291.5,427.8,348.5,41.53,219.1,340.8,277.5,37.28,187.8,362.8,288.8,52.88,433.5,610.5,512.0,41.72,546.0,669.5,602.5,34.88,12.484,28.61,18.6,4.902,1.262,5.016,2.074,1.022,2014
0.125100771437,Acaponeta,MX18001,6.227,12.93,9.95,1.551,5.5,9.586,7.84,0.958,4.15,6.418,5.55,0.658,0.7134,4.82,3.004,1.172,2.297,7.17,4.016,1.483,88.06,189.2,146.4,19.88,215.5,321.5,279.2,28.08,257.8,370.5,314.0,22.23,230.8,326.2,282.8,22.61,80.4,128.6,101.9,12.76,39.7,64.3,50.7,5.73,20.33,29.48,25.02,2.236,2014
0.146067893872,Acapulco de Juárez,MX12001,5.25,10.99,7.473,1.207,0.334,4.465,1.548,1.064,0.9634,3.967,2.402,0.58,0.9956,5.566,3.178,0.8984,44.34,118.2,88.9,15.86,183.5,388.0,297.5,40.94,121.0,190.1,149.8,14.03,157.9,342.8,203.0,33.2,279.2,552.5,397.5,53.2,135.8,327.8,238.4,39.66,9.766,61.6,23.92,10.984,4.633,17.31,9.6,2.76,2014
0.0156192096526,Acateno,MX21002,20.7,23.47,22.19,1.054,19.4,23.39,20.86,1.386,21.86,36.9,29.1,4.76,51.53,60.97,55.3,2.912,162.4,187.0,173.2,8.08,291.0,330.2,314.5,13.47,133.6,166.6,154.6,10.64,150.9,232.9,194.9,27.25,396.2,454.0,434.5,19.39,336.0,407.0,380.5,21.83,67.06,80.44,73.8,4.21,46.8,52.2,49.34,2.064,2014
0.0535727178686,Acatepec,MX12076,11.91,17.95,13.805,1.499,0.688,1.912,1.16,0.3518,0.965,2.336,1.837,0.4197,4.62,7.863,5.902,0.842,132.8,197.6,171.0,18.83,334.8,563.0,424.8,56.28,276.5,415.8,327.8,36.9,284.8,408.2,348.2,36.84,298.8,467.0,366.2,44.0,166.5,394.0,238.1,57.8,14.85,34.38,23.22,6.23,6.223,13.87,8.94,1.917,2014
0.0294223322438,Acatic,MX14001,7.676,9.93,8.77,0.7856,1.992,3.38,2.95,0.3794,2.896,5.613,4.094,0.8545,3.357,7.92,6.438,1.392,38.25,57.97,43.97,5.0,188.6,259.2,223.2,18.16,177.4,201.9,191.9,7.242,146.2,155.9,153.1,2.89,166.4,197.0,182.2,7.582,32.72,50.06,43.62,4.723,33.5,44.34,39.84,3.127,8.195,11.64,9.84,1.063,2014
0.02088199108,Acatlán,MX13001,12.05,24.08,17.7,3.516,8.11,13.24,10.73,1.794,18.8,33.38,24.4,4.465,49.66,66.5,58.72,5.84,90.3,153.4,122.8,23.56,150.0,271.2,202.5,41.94,113.8,169.4,141.1,20.6,86.1,149.2,115.6,22.66,239.0,413.5,318.0,63.94,118.0,201.4,155.9,25.33,25.45,73.8,44.3,15.67,17.19,37.56,28.58,6.168,2014
0.0519628381166,Acatlán,MX21003,3.984,7.5,5.855,1.11,1.236,2.691,1.764,0.3188,3.244,9.02,5.445,1.613,19.7,35.97,25.78,5.184,109.8,147.9,131.4,10.43,226.2,324.0,259.0,27.89,86.2,126.25,102.75,11.03,101.3,163.9,127.9,18.73,178.9,264.2,218.4,27.66,57.94,116.06,78.6,18.31,8.03,28.06,13.54,4.406,2.42,5.96,3.598,0.839,2014
0.00157399302184,Acatlán,MX30002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0133276297786,Acatlán de Juárez,MX14002,12.04,15.58,14.08,1.605,2.416,3.549,2.982,0.4487,4.55,10.24,6.984,1.94,7.67,21.69,13.82,5.293,34.4,40.6,37.75,2.03,217.8,259.8,239.5,13.84,179.5,211.8,197.2,12.7,123.2,151.2,137.6,9.4,144.1,158.4,151.2,5.918,53.1,64.6,57.56,3.875,32.75,37.66,35.25,1.576,12.76,16.89,15.36,1.397,2014
0.0645376444233,Acatlán de Pérez Figueroa,MX20002,14.99,31.45,21.23,4.055,16.5,32.72,20.81,3.566,14.44,23.77,20.12,2.037,32.16,49.12,39.75,4.258,131.0,255.9,175.6,27.22,396.0,670.5,523.5,72.4,259.8,388.0,299.0,29.5,227.8,390.0,310.8,48.78,301.2,639.5,456.5,89.25,97.56,335.5,197.4,61.66,40.88,115.56,65.9,16.92,35.97,64.56,47.6,7.004,2014
0.0120632328487,Acatzingo,MX21004,10.12,20.88,14.266,3.596,4.098,7.008,5.266,0.9556,8.39,12.18,9.77,1.33,25.45,40.16,33.6,5.21,146.5,190.1,162.2,16.3,189.6,266.5,225.0,26.36,71.8,92.6,84.56,6.977,86.44,117.25,109.44,11.71,179.1,243.1,216.6,21.97,52.12,82.0,67.6,9.484,17.39,29.39,25.4,4.188,10.1,18.14,14.26,2.66,2014
0.0206394974415,Acaxochitlán,MX13002,15.625,29.1,21.44,3.941,7.242,15.37,11.516,2.668,21.3,32.34,26.3,3.55,58.22,87.0,70.3,7.86,114.06,152.0,127.1,12.74,210.9,298.2,254.9,26.31,151.0,231.0,196.2,24.9,133.5,191.0,158.2,17.48,284.2,477.2,369.2,52.06,136.9,261.2,184.4,34.06,43.03,83.4,63.0,11.77,23.94,45.9,35.2,5.824,2014
0.0559487383261,Acayucan,MX30003,19.27,69.8,44.56,11.39,15.31,49.9,36.12,8.93,8.52,17.2,12.96,2.83,17.55,37.94,26.89,5.387,90.56,202.6,133.9,30.9,167.6,225.5,197.8,12.63,154.9,255.5,209.9,25.0,162.4,242.2,215.6,18.56,242.8,424.5,334.5,46.47,141.1,372.2,257.0,70.4,40.47,138.2,89.2,17.73,55.66,220.1,112.9,40.38,2014
0.00748487310118,Acolman,MX15002,6.08,8.52,6.87,0.966,1.828,4.984,2.73,1.306,5.055,8.55,6.203,1.384,26.0,36.16,32.03,3.902,66.5,100.56,85.25,12.2,118.9,144.8,128.4,9.945,83.56,111.44,94.56,10.36,101.7,121.7,108.0,7.996,114.94,142.2,126.06,9.99,35.72,48.06,43.2,5.07,5.605,11.26,8.375,2.172,5.664,7.99,6.395,0.935,2014
0.0343526832473,Aconchi,MX26001,22.89,34.56,28.3,3.764,7.34,13.79,10.93,1.8545,7.293,14.71,11.49,2.299,1.943,9.49,5.914,2.186,3.201,5.07,4.047,0.555,5.59,8.18,7.156,0.723,117.4,154.8,139.8,10.266,65.56,94.25,83.1,7.766,43.16,84.0,64.0,11.766,8.73,16.47,13.266,1.919,5.492,8.91,6.875,0.9336,23.3,43.22,31.62,4.992,2014
0.00643701624521,Acteopan,MX21005,6.035,7.098,6.566,0.5303,1.053,1.229,1.141,0.0878,4.008,4.95,4.48,0.4712,18.12,21.08,19.61,1.481,105.7,121.44,113.56,7.87,243.6,263.8,253.6,10.05,116.94,126.4,121.7,4.727,142.8,150.0,146.4,3.584,212.9,215.5,214.2,1.275,67.2,70.25,68.7,1.531,5.06,5.234,5.145,0.0882,2.541,2.572,2.557,0.01536,2014
0.0235080804772,Actopan,MX13003,6.195,13.58,9.95,2.531,3.05,6.594,4.52,1.291,10.72,15.09,12.78,1.63,18.45,42.2,31.23,6.715,59.75,97.2,76.5,13.19,107.8,152.2,125.44,17.81,55.88,90.94,72.25,10.46,53.56,82.7,65.2,11.12,143.4,203.0,168.9,22.11,61.03,90.4,73.7,10.625,12.92,26.45,17.28,4.016,5.977,21.12,13.64,5.4,2014
0.0738255480221,Actopan,MX30004,4.215,34.22,20.23,7.992,9.375,25.12,15.875,3.89,14.33,30.56,23.22,4.082,24.58,44.1,35.3,5.0,64.06,143.9,98.8,22.27,172.5,251.5,207.1,24.14,94.9,126.6,110.44,8.07,91.8,150.4,123.94,16.05,154.0,244.6,184.5,21.4,29.6,78.1,51.0,15.4,17.0,52.4,30.1,7.7,11.45,43.53,29.86,8.89,2014
0.00128831773192,Acuamanala de Miguel Hidalgo,MX29022,10.27,10.27,10.27,0.0,6.03,6.03,6.03,0.0,10.43,10.43,10.43,0.0,47.3,47.3,47.3,0.0,127.2,127.2,127.2,0.0,213.4,213.4,213.4,0.0,112.5,112.5,112.5,0.0,131.1,131.1,131.1,0.0,204.8,204.8,204.8,0.0,66.06,66.06,66.06,0.0,18.95,18.95,18.95,0.0,10.76,10.76,10.76,0.0,2014
0.0151702820298,Acuitzio,MX16001,10.21,15.375,13.375,1.905,2.5,3.666,3.2,0.3904,2.924,3.676,3.172,0.2407,14.516,31.08,21.31,5.02,69.25,115.4,96.56,13.28,226.0,309.5,276.5,31.6,216.9,256.0,233.5,12.38,140.1,183.2,162.4,15.43,157.0,220.9,194.6,23.22,63.2,85.2,71.2,6.492,20.31,44.56,33.8,8.43,14.88,29.34,23.78,5.12,2014
0.01568198934,Acula,MX30005,27.3,37.75,32.1,3.479,31.78,50.03,39.47,5.023,13.664,22.42,18.66,2.852,29.17,39.28,34.25,3.424,94.44,119.4,108.44,8.234,221.5,258.0,240.0,14.72,153.8,200.0,174.1,14.87,109.9,145.1,133.5,11.375,395.5,488.2,438.8,34.3,141.4,154.4,147.8,3.754,62.78,85.8,74.9,9.195,70.25,85.4,77.75,6.316,2014
0.0391574894558,Aculco,MX15003,8.01,11.78,9.56,0.944,2.807,5.01,3.332,0.545,7.848,9.49,8.66,0.4265,29.44,38.0,33.56,2.15,87.9,139.8,107.4,13.53,189.6,247.1,224.9,15.0,140.1,206.6,170.4,20.53,72.0,124.8,98.94,16.4,127.4,220.4,163.2,31.55,80.25,106.94,92.9,7.504,11.02,27.7,16.94,5.047,9.58,15.78,11.67,1.894,2014
0.0144677116955,Acultzingo,MX30006,16.62,28.56,23.36,4.656,9.5,17.92,13.48,3.07,5.418,10.21,7.88,1.931,26.9,36.16,32.0,3.29,190.9,219.1,207.5,11.47,226.4,316.0,267.5,30.58,153.9,218.4,180.8,25.34,140.6,181.0,156.1,15.12,263.2,379.8,316.2,43.4,154.9,197.8,175.9,14.83,54.03,101.8,78.7,18.56,29.8,48.12,39.72,6.492,2014
1.06511128989,Acuña,MX05002,7.16,25.25,13.0,2.793,2.521,15.734,10.59,2.06,4.957,13.56,8.16,1.458,7.207,37.38,27.39,4.203,6.258,50.0,28.36,9.6,20.44,105.3,71.44,12.69,27.69,142.0,47.94,17.11,22.66,124.2,59.78,20.77,25.56,118.6,68.0,15.29,6.727,37.2,23.75,4.51,2.775,19.69,10.75,2.545,9.35,25.05,13.49,2.172,2014
0.010383463838,Agua Blanca de Iturbide,MX13004,12.93,18.58,15.664,2.31,7.473,9.66,8.22,1.012,17.36,19.06,18.1,0.7114,46.47,55.72,51.97,3.977,88.44,97.06,93.0,3.553,157.9,214.0,180.6,24.11,129.9,188.5,155.5,24.45,102.6,137.9,115.56,15.82,274.8,409.8,330.0,57.75,168.0,202.0,182.0,14.484,32.94,44.2,36.97,5.117,28.89,37.0,32.06,3.537,2014
0.0312312589751,Agua Dulce,MX30204,89.1,113.2,103.75,7.19,51.16,73.4,62.38,6.453,37.2,60.84,49.38,6.832,24.67,30.14,27.6,1.56,121.0,216.9,157.4,24.05,195.5,250.2,208.0,14.39,142.1,206.9,164.8,17.78,189.4,256.2,215.0,19.8,336.5,396.8,369.5,20.8,531.5,607.5,575.5,20.52,108.44,135.1,125.7,9.45,195.6,252.8,220.8,18.78,2014
