Shape_Area,ADM2_ES,ADM2_PCODE,min_prec_2009_01,max_prec_2009_01,mean_prec_2009_01,std_prec_2009_01,min_prec_2009_02,max_prec_2009_02,mean_prec_2009_02,std_prec_2009_02,min_prec_2009_03,max_prec_2009_03,mean_prec_2009_03,std_prec_2009_03,min_prec_2009_04,max_prec_2009_04,mean_prec_2009_04,std_prec_2009_04,min_prec_2009_05,max_prec_2009_05,mean_prec_2009_05,std_prec_2009_05,min_prec_2009_06,max_prec_2009_06,mean_prec_2009_06,std_prec_2009_06,min_prec_2009_07,max_prec_2009_07,mean_prec_2009_07,std_prec_2009_07,min_prec_2009_08,max_prec_2009_08,mean_prec_2009_08,std_prec_2009_08,min_prec_2009_09,max_prec_2009_09,mean_prec_2009_09,std_prec_2009_09,min_prec_2009_10,max_prec_2009_10,mean_prec_2009_10,std_prec_2009_10,min_prec_2009_11,max_prec_2009_11,mean_prec_2009_11,std_prec_2009_11,min_prec_2009_12,max_prec_2009_12,mean_prec_2009_12,std_prec_2009_12,year
0.00628807976292,San Pedro el Alto,MX20306,6.883,9.46,8.305,1.068,17.7,22.33,19.5,2.021,14.3,15.734,14.89,0.6133,19.86,28.6,24.08,3.568,126.75,168.9,149.4,17.31,227.5,250.1,238.4,9.27,176.2,230.6,209.4,23.73,152.4,208.5,174.9,24.25,244.1,257.8,250.5,5.566,251.8,270.0,260.5,7.395,26.45,33.0,29.05,2.83,10.08,23.75,18.55,6.035,2009
0.00636277160948,San Pedro Garza García,MX19019,12.22,15.4,13.81,1.588,8.67,9.72,9.195,0.525,9.35,11.586,10.47,1.117,26.95,35.2,31.06,4.11,45.66,54.34,50.0,4.34,43.66,46.4,45.03,1.375,68.9,70.2,69.5,0.666,49.2,51.84,50.5,1.326,143.1,157.8,150.5,7.293,51.7,55.25,53.47,1.7705,14.3,19.19,16.73,2.44,15.086,17.36,16.22,1.133,2009
0.0584924612403,San Pedro Huamelula,MX20307,3.047,9.875,4.547,1.45,2.104,4.387,3.062,0.6934,0.2886,9.17,6.363,2.848,2.771,9.016,7.23,1.848,63.56,141.2,103.6,24.23,150.5,199.0,170.0,13.516,62.7,88.0,80.4,6.215,68.7,176.0,97.75,33.75,116.5,174.2,139.4,14.65,62.75,102.9,81.25,12.08,2.488,10.88,6.742,2.2,1.945,11.35,4.273,2.893,2009
0.00224032423546,San Pedro Huilotepec,MX20308,6.31,6.31,6.31,0.0,0.1805,0.1805,0.1805,0.0,0.0781,0.0781,0.0781,0.0,2.762,2.762,2.762,0.0,53.84,53.84,53.84,0.0,339.0,339.0,339.0,0.0,90.25,90.25,90.25,0.0,156.4,156.4,156.4,0.0,320.8,320.8,320.8,0.0,131.2,131.2,131.2,0.0,4.45,4.45,4.45,0.0,9.37,9.37,9.37,0.0,2009
0.00869907115188,San Pedro Ixcatlán,MX20309,51.12,65.25,55.84,5.58,50.12,72.25,60.5,9.5,32.34,44.3,36.66,4.547,44.4,56.78,48.53,4.848,118.44,134.9,125.06,6.062,425.0,451.8,436.5,10.57,560.5,626.5,591.5,23.94,481.5,490.0,484.2,3.34,871.0,920.0,886.5,19.94,284.0,339.5,308.2,20.67,71.8,100.56,82.0,11.055,91.44,120.2,101.8,11.14,2009
0.0019665194118,San Pedro Ixtlahuaca,MX20310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00438940620122,San Pedro Jaltepetongo,MX20311,10.66,10.66,10.66,0.0,6.57,6.57,6.57,0.0,6.82,6.82,6.82,0.0,24.94,24.94,24.94,0.0,83.94,83.94,83.94,0.0,125.4,125.4,125.4,0.0,92.44,92.44,92.44,0.0,105.7,105.7,105.7,0.0,188.6,188.6,188.6,0.0,107.56,107.56,107.56,0.0,12.53,12.53,12.53,0.0,16.08,16.08,16.08,0.0,2009
0.00720554130237,San Pedro Jicayán,MX20312,9.234,11.02,10.17,0.6655,0.978,5.47,3.355,1.594,8.195,10.06,9.37,0.7104,1.792,4.01,3.055,0.83,60.16,79.0,70.6,6.83,173.2,221.0,195.4,18.2,174.2,243.6,200.8,26.3,221.1,281.8,248.8,21.66,232.1,271.8,243.6,16.22,199.0,241.2,227.2,16.88,18.05,24.39,21.89,2.406,2.82,4.926,4.05,0.765,2009
0.00591589014185,San Pedro Jocotipac,MX20313,11.48,14.94,12.67,1.603,5.363,7.945,6.414,1.107,4.316,7.277,6.1,1.282,18.95,26.3,23.06,3.06,75.7,78.7,77.25,1.236,106.56,109.44,107.94,1.177,86.5,108.25,96.75,8.94,102.2,109.5,105.2,3.129,155.9,198.9,173.8,18.28,89.6,100.94,94.2,4.87,12.13,15.77,14.086,1.498,14.05,16.31,15.19,0.927,2009
0.00492488739426,San Pedro Juchatengo,MX20314,5.168,6.676,5.92,0.7534,5.56,7.684,6.62,1.0625,1.745,2.664,2.205,0.4595,15.414,19.25,17.33,1.916,186.0,190.6,188.4,2.334,201.0,237.0,219.0,18.0,189.8,210.1,199.9,10.17,233.5,234.8,234.1,0.6484,220.8,255.2,238.0,17.23,173.2,203.0,188.1,14.875,17.73,20.81,19.27,1.541,10.55,14.04,12.29,1.744,2009
